Rank,ID,Name,Mint,Image,Total Yield
100,30,SolStein #30,2P58nhJAX8Tno3wZcLciKsgRg9awpeFeEUqo3NS2zn1a,https://www.arweave.net/bq-Y5m_cjmY6i8sMw70xlmhKxnk0bN8Yc4jp96gXj2A?ext=png,19210.6578
101,8635,Quantum Trader #8635,6FeWtZ9mZgH1QMYervhMUBsx1YDEvYcRT5mhPwsyWTuN,https://arweave.net/1Vjrz1OvSHNfBTeCeXExntojeLzsMnNZuQuZ3_-eQ5g,19209.7762
102,4938,Quantum Trader #4938,AFii6wMfTBoQ8kx3xnNPxKPMD5L8xcd9i8QqRFKhJVvA,https://arweave.net/ZLlIKs7qo1md4tWomIwFvKFf9p7DvaS9BmWzoBqDUi4,19208.8947
103,7558,SolStein #7558,9W21Ks7CYXP8XVZouWn2ZewgbwCFp2reCDLiGkoj9c1y,https://www.arweave.net/HmCK8KIJ4nlKfmCGZ6zxcxvD4zl-gJyqnWBovs6Svb8?ext=png,19208.0132
104,5971,Quantum Trader #5971,5KtG1n5cdZGLXEvQgkqJuASDf7ayBZbW4Vkpo927qKXH,https://arweave.net/Rywrspo7osrS0whmulQ8TYsYnLmV8laUCVhNFzXLcmo,19207.1316
105,7712,Quantum Trader #7712,bNLrLwLj2pnxzRm58kssYjpTTbWJa6e1FsgC5SYvGKo,https://arweave.net/SGKD2kGRYyQtqPasJ5ZhTYBpGV5aSCFeK2oEnc1en4c,19206.2501
106,7830,SolStein #7830,hRZcMUvqnKDqC4CwsG9EJMevsrjJpDZCzDTc3s2zuxv,https://www.arweave.net/d2OSKK-yE0tFOFwe0DbWR7HK4EMb5_XpwsSjQ8hKQ4w?ext=png,19205.3686
107,1503,Quantum Trader #1503,47WgdysCECqDoxto4US74heESopt5N1Bb7yVgydCesfK,https://arweave.net/mvAMEStzuFPXlFrtCEO2_pjaWUhrKzaVmbIflU9XOBQ,19204.487
108,4076,Quantum Trader #4076,BvsLm5nHvRaSwXavAxC1QL1RuAxzBSmVovvRMzUDqvMX,https://arweave.net/XjIzqp1AU6vb7IMN_HnFXubuuGMSFtY-Iv7E4VNm0Ho,19203.6055
109,6619,SolStein #6619,67gz4iL8fYM8NVJ3bdFeBraNCQdzpWWi4xJe4icmLyxk,https://www.arweave.net/OJiQYpQmx3eeeWoKeOKMb2Mts1YZE4wYsbeoLi-jZv4?ext=png,19202.7239
110,6060,Quantum Trader #6060,CCCYEthafruAFn4CTsbhC9HRvHzsXnPZhMheg6Qz1uaM,https://arweave.net/LBnSnT277UPd036VohJ_7Y5nf--ywMEyiGlJSf-fSUk,19201.8424
111,3683,Quantum Trader #3683,ED9QuP5nhk8dSZ8FRn4K12iJZUJPXdhEdBzk7ASeXQTc,https://arweave.net/Wd7icwgEj-SNNyTOJFhQnLxSRsS4-_eBmolSOogqBvM,19200.9609
